Physics MCQ,FRCR MCQs Physics(MRI AND USG),https://www.bookswagon.com/book/frcr-mcqs-physicsmri-usg-dr/9781490571980,"₹3,915","₹4,350",Paperback,20 Jul 2013,Nagendra Kumar Sinha,https://www.bookswagon.com/productimages/mainimages/980/9781490571980.jpg,Createspace Independent Publishing Platform
Physics MCQ,NTA CUET UG 2024 Exam | Physics | 2000+ NCERT Based Topic-wise MCQs | Useful for DU JNU Jamia Milia BHU AMU CHS and All Other Central University,https://www.bookswagon.com/book/nta-cuet-ug-2024-exam/9789354889714,₹221,₹325,Paperback,23 Feb 2024,Team Prabhat,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/714/9789354889714.jpg,Prabhat Prakashan Pvt. Ltd.
Physics MCQ,Madhya Pradesh Uchch Madhyamik Shikshak Patrata Pariksha Bhautik Vigyan Practice MCQs (MPTET Higher Secondary Teacher Physics Practice Sets Hindi),https://www.bookswagon.com/book/madhya-pradesh-uchch-madhyamik-shikshak/9789354884245,₹117,₹195,Paperback,02-Jan-2023,Team Prabhat,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/notavailable.gif,Prabhat Prakashan Pvt. Ltd.
Physics MCQ,FRCR Physics MCQs in Clinical Radiology,https://www.bookswagon.com/book/frcr-physics-mcqs-in-clinical/9789811309106,"₹7,584","₹9,600",Hardback,23 Oct 2018,Ibrahim Lutfi Shuaib,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/106/9789811309106.jpg,Springer
Physics MCQ,"Qbase Radiology: Volume 3, McQs in Physics and Ionizing Radiation for the Frcr",https://www.bookswagon.com/book/qbase-radiology-rakesh-misra-joshua/9780521673839,"₹3,837","₹6,189",SA,15 Jun 2006,Rakesh Misra,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/839/9780521673839.jpg,Cambridge University Press
Physics MCQ,Arihant Master The NCERT For NEET /JEE 2025 Physics Volume-1 | 2000+ MCQ | Revised & Amplified Edition | Line By Line NCERT,https://www.bookswagon.com/book/arihant-master-ncert-neet-jee/9789359986043,"₹9,866","₹12,180",Paperback,02 Apr 2024,"Keshav Mohan , Dharmendra Singh , Sunny Kumar",https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/043/9789359986043.jpg,Arihant Publications
Physics MCQ,NEET UG Physics Class XI (Vol 2) Topic-wise Notes A Complete Preparation Study Notes with Solved MCQs,https://www.bookswagon.com/book/neet-ug-physics-class-xi/9789355566409,"₹3,653","₹4,014",Paperback,24 May 2023,Repro India Limited,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/notavailable.gif,
Physics MCQ,NEET UG Physics Class XI (Vol 1) Topic-wise Notes A Complete Preparation Study Notes with Solved MCQs,https://www.bookswagon.com/book/neet-ug-physics-class-xi/9789355566393,"₹3,455","₹3,797",Paperback,24 May 2023,Repro India Limited,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/notavailable.gif,
Physics MCQ,NEET UG Physics Class XII (Vol 2) Topic-wise Notes A Complete Preparation Study Notes with Solved MCQs,https://www.bookswagon.com/book/neet-ug-physics-class-xii/9789355566362,"₹3,455","₹3,797",Paperback,24 May 2023,Repro India Limited,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/362/9789355566362.jpg,
Chemistry MCQ,"Disha Objective NCERT Xtract Chemistry for NTA NEET & JEE Main 7th Edition One Liner Theory, MCQs on every line of NCERT, Tips on your Fingertips, Previous Year Question Bank PYQs, Mo ck Tests",https://www.bookswagon.com/book/disha-objective-ncert-xtract-chemistry/9789355643735,"₹5,246","₹5,641",Paperback,07 Oct 2022,"Experts, Disha",https://www.bookswagon.com/productimages/mainimages/735/9789355643735.jpg,Repro Books Limited
