Title,ISBN,Source,Cover,Price,MRP,Discount,Format,Rating
Self Help To C.B.S.E. Applied Mathematics (Solutions Of RD Sharma) Class 12,RBKH58J5YZJAUAMG,https://www.flipkart.com/self-help-c-b-s-e-applied-mathematics-solutions-rd-sharma-class-12/p/itm7167a34599af9?pid=RBKH58J5YZJAUAMG,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/h/d/n/self-help-to-c-b-s-e-applied-mathematics-solutions-of-rd-sharma-original-imah58j5mvsbyxmc.jpeg?q=70,"₹1,095",,,"Paperback, R.D Sharma",
Arihant Sampal Paper Class 12 Applied Mathematics,RBKGTQ7ZPQV26YFM,https://www.flipkart.com/arihant-sampal-paper-class-12-applied-mathematics/p/itmb5177449c8039?pid=RBKGTQ7ZPQV26YFM,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/e/h/a/arihant-sampal-paper-class-12-applied-mathematics-original-imagtq7z6agh9gtx.jpeg?q=70,₹265,₹270,1% off,"Paperback, Arihant",
Arihant CBSE Term 1 Applied Mathematics Sample Papers Questions for Class 12 MCQ Books for 2021 (As Per CBSE Sample Papers issued on 2 Sep 2021),9789325795228,https://www.flipkart.com/arihant-cbse-term-1-applied-mathematics-sample-papers-questions-class-12-mcq-books-2021-as-per-issued-2-sep-2021/p/itm5578e16101839?pid=9789325795228,https://rukminim2.flixcart.com/image/612/612/kulk9zk0/book/e/x/a/arihant-cbse-term-1-applied-mathematics-sample-papers-questions-original-imag7zpbvtmyqyn6.jpeg?q=70,₹128,₹175,26% off,"English, Paperback, Dwevedi Brijesh",4.1
Applied Mathematics Class-XII,9788178558776,https://www.flipkart.com/applied-mathematics-class-xii/p/itm08f92780148b2?pid=9788178558776,https://rukminim2.flixcart.com/image/612/612/klv7ekw0/book/u/x/s/applied-mathematics-class-xii-volume-i-code-241-original-imagyw5rzzyc3duq.jpeg?q=70,₹399,,,"English, Paperback, Aggarwal M.L.",4.4
CBSE New Pattern Applied Mathematics Class 12 for 2021-22 Exam (MCQs based book for Term 1),9789325793255,https://www.flipkart.com/cbse-new-pattern-applied-mathematics-class-12-2021-22-exam-mcqs-based-book-term-1/p/itm2244ec07aa5bc?pid=9789325793255,https://rukminim2.flixcart.com/image/612/612/kskotjk0/book/p/q/g/cbse-new-pattern-applied-mathematics-class-12-for-2021-22-exam-original-imag645gzabuybsv.jpeg?q=70,₹150,,,"English, Paperback, Dwevedi Brijesh",4.4
Educart CBSE Class 12 APPLIED MATHEMATICS Sample Paper 2023 (With Detailed Explanation and New Pattern Questions 2022-23),9789355618023,https://www.flipkart.com/educart-cbse-class-12-applied-mathematics-sample-paper-2023-with-detailed-explanation-new-pattern-questions-2022-23/p/itmba2c478d4d847?pid=9789355618023,https://rukminim2.flixcart.com/image/612/612/xif0q/book/z/r/j/educart-cbse-class-12-applied-mathematics-sample-paper-2022-23-original-imagkz7tpftfzz8f.jpeg?q=70,₹249,,,"English, Paperback, Educart",3.8
Arihant CBSE Applied Mathematics Term 2 Class 12 for 2022 Exam (Cover Theory and MCQs),9789325796928,https://www.flipkart.com/arihant-cbse-applied-mathematics-term-2-class-12-2022-exam-cover-theory-mcqs/p/itm903a8f26e01c7?pid=9789325796928,https://rukminim2.flixcart.com/image/612/612/kw5ag7k0/book/r/s/3/arihant-cbse-new-pattern-applied-mathematics-class-12-for-2022-original-imag8w2ynum5s8dy.jpeg?q=70,₹200,,,"English, Paperback, Regar Raju",4.1
Arihant CBSE Term 2 Applied Mathematics Class 12 Sample Question Papers (As per CBSE Term 2 Sample Paper Issued on 14 Jan 2022),9789325799103,https://www.flipkart.com/arihant-cbse-term-2-applied-mathematics-class-12-sample-question-papers-as-per-paper-issued-14-jan-2022/p/itm8a621a15fb1e6?pid=9789325799103,https://rukminim2.flixcart.com/image/612/612/kzfvzww0/book/a/3/p/arihant-cbse-term-2-applied-mathematics-class-12-sample-question-original-imagbg3stuhhetqm.jpeg?q=70,₹150,,,"English, Paperback, Naaz Areesha",4
Educart CBSE Question Bank Class 12 Applied Mathematics 2024-25,9789360542467,https://www.flipkart.com/educart-cbse-question-bank-class-12-applied-mathematics-2024-25/p/itm3f7c2e99d372a?pid=9789360542467,https://rukminim2.flixcart.com/image/612/612/xif0q/book/z/z/v/educart-cbse-question-bank-class-12-applied-mathematics-2024-25-original-imah32twsdbczg7n.jpeg?q=70,₹599,,,"Paperback, Educart",
Educart CBSE Applied Mathematics class 12 Sample Paper 2023-24 (Introducing Revision Maps and Past Year Papers) 2024  - Sample Paper Class 12 2023 24 CBSE,9789357037945,https://www.flipkart.com/educart-cbse-applied-mathematics-class-12-sample-paper-2023-24-introducing-revision-maps-past-year-papers-2024-2023-24/p/itme78224caf0e49?pid=9789357037945,https://rukminim2.flixcart.com/image/612/612/xif0q/book/2/r/e/educart-cbse-applied-mathematics-class-12-sample-paper-2023-24-original-imaguzkrf7zb2p3g.jpeg?q=70,₹299,,,"Paperback, Educart",2.6
