"price","mrp","discount","condition","seller","sellerID","ASIN","SellerListingLink"
"₹238.00","₹299.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9359588652","https://www.amazon.in/gp/product/9359588652?smid=A3DM1FLUKA6IGQ&psc=1"
"₹276.00","₹299.00","-8%","New","Repro Books-On-Demand","A15DBATYR506U3","9359588652","https://www.amazon.in/gp/product/9359588652?smid=A15DBATYR506U3&psc=1"
"₹299.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9359588652","https://www.amazon.in/gp/product/9359588652?smid=A3PS9PW8IUPJAO&psc=1"
"₹299.00","Unavailable","","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9359588652","https://www.amazon.in/gp/product/9359588652?smid=A1RT8ZLNSAVMGC&psc=1"
"₹325.00","₹335.00","-3%","New","R R BOOK STALL","A1GY9C30S2WNDQ","9359588652","https://www.amazon.in/gp/product/9359588652?smid=A1GY9C30S2WNDQ&psc=1"
"₹299.00","Unavailable","","New","Batheja Books","A2QUCPKK3GH5NC","9359588652","https://www.amazon.in/gp/product/9359588652?smid=A2QUCPKK3GH5NC&psc=1"
"663.","Unavailable","","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","B0BQVN8PKP",
"232.","₹259.00","-10%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9359581283",
"₹206.00","₹259.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9359581283","https://www.amazon.in/gp/product/9359581283?smid=A3DM1FLUKA6IGQ&psc=1"
"₹255.00","Unavailable","","New","Repro Books-On-Demand","A15DBATYR506U3","9359581283","https://www.amazon.in/gp/product/9359581283?smid=A15DBATYR506U3&psc=1"
"₹259.00","Unavailable","","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9359581283","https://www.amazon.in/gp/product/9359581283?smid=A1RT8ZLNSAVMGC&psc=1"
"₹259.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9359581283","https://www.amazon.in/gp/product/9359581283?smid=A3PS9PW8IUPJAO&psc=1"
"₹299.00","Unavailable","","New","R R BOOK STALL","A1GY9C30S2WNDQ","9359581283","https://www.amazon.in/gp/product/9359581283?smid=A1GY9C30S2WNDQ&psc=1"
"636.","₹799.00","-20%","New","Repro Books-On-Demand(drop box)","A15DBATYR506U3","9359583359",
"₹636.00","₹799.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9359583359","https://www.amazon.in/gp/product/9359583359?smid=A3DM1FLUKA6IGQ&psc=1"
"₹705.00","₹799.00","-12%","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9359583359","https://www.amazon.in/gp/product/9359583359?smid=A1RT8ZLNSAVMGC&psc=1"
"₹716.00","₹799.00","-10%","New","Cocoblu Retail","A1WYWER0W24N8S","9359583359","https://www.amazon.in/gp/product/9359583359?smid=A1WYWER0W24N8S&psc=1"
"₹719.00","₹799.00","-10%","New","The Book Masters","A1HSME87SANYHJ","9359583359","https://www.amazon.in/gp/product/9359583359?smid=A1HSME87SANYHJ&psc=1"
"₹740.00","₹799.00","-7%","New","R R BOOK STALL","A1GY9C30S2WNDQ","9359583359","https://www.amazon.in/gp/product/9359583359?smid=A1GY9C30S2WNDQ&psc=1"
"₹799.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9359583359","https://www.amazon.in/gp/product/9359583359?smid=A3PS9PW8IUPJAO&psc=1"
"₹719.00","₹799.00","-10%","New","Ideal Books International","A2D3O719GX2IPF","9359583359","https://www.amazon.in/gp/product/9359583359?smid=A2D3O719GX2IPF&psc=1"
"223.","₹249.00","-10%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9362397617",
"₹223.00","₹249.00","-10%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9362397617","https://www.amazon.in/gp/product/9362397617?smid=A3DM1FLUKA6IGQ&psc=1"
"₹231.00","₹249.00","-7%","New","Repro Books-On-Demand","A15DBATYR506U3","9362397617","https://www.amazon.in/gp/product/9362397617?smid=A15DBATYR506U3&psc=1"
"₹249.00","Unavailable","","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9362397617","https://www.amazon.in/gp/product/9362397617?smid=A1RT8ZLNSAVMGC&psc=1"
"₹249.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9362397617","https://www.amazon.in/gp/product/9362397617?smid=A3PS9PW8IUPJAO&psc=1"
"447.","₹499.00","-10%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","938951018X",
"₹475.00","₹499.00","-5%","New","R R BOOK STALL","A1GY9C30S2WNDQ","938951018X","https://www.amazon.in/gp/product/938951018X?smid=A1GY9C30S2WNDQ&psc=1"
"₹499.00","Unavailable","","New","Repro Books-On-Demand","A15DBATYR506U3","938951018X","https://www.amazon.in/gp/product/938951018X?smid=A15DBATYR506U3&psc=1"
"₹499.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","938951018X","https://www.amazon.in/gp/product/938951018X?smid=A3PS9PW8IUPJAO&psc=1"
"₹499.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","938951018X","https://www.amazon.in/gp/product/938951018X?smid=A3PS9PW8IUPJAO&psc=1"
"₹397.00","₹499.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","938951018X","https://www.amazon.in/gp/product/938951018X?smid=A3DM1FLUKA6IGQ&psc=1"
"267.","₹329.00","-19%","New","Repro Books-On-Demand(drop box)","A15DBATYR506U3","9355950942",
"₹269.00","₹329.00","-18%","New","Cocoblu Retail","A1WYWER0W24N8S","9355950942","https://www.amazon.in/gp/product/9355950942?smid=A1WYWER0W24N8S&psc=1"
"₹297.00","₹329.00","-10%","New","Book Zone India","A39HNXMA6S5QLF","9355950942","https://www.amazon.in/gp/product/9355950942?smid=A39HNXMA6S5QLF&psc=1"
"₹299.00","₹329.00","-9%","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9355950942","https://www.amazon.in/gp/product/9355950942?smid=A1RT8ZLNSAVMGC&psc=1"
"₹310.00","₹329.00","-6%","New","R R BOOK STALL","A1GY9C30S2WNDQ","9355950942","https://www.amazon.in/gp/product/9355950942?smid=A1GY9C30S2WNDQ&psc=1"
"336.","₹399.00","-16%","New","Repro Books-On-Demand(drop box)","A15DBATYR506U3","9359581437",
"₹358.00","₹399.00","-10%","New","Cocoblu Retail","A1WYWER0W24N8S","9359581437","https://www.amazon.in/gp/product/9359581437?smid=A1WYWER0W24N8S&psc=1"
"₹358.00","₹399.00","-10%","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9359581437","https://www.amazon.in/gp/product/9359581437?smid=A1RT8ZLNSAVMGC&psc=1"
"₹360.00","₹399.00","-10%","New","Book Zone India","A39HNXMA6S5QLF","9359581437","https://www.amazon.in/gp/product/9359581437?smid=A39HNXMA6S5QLF&psc=1"
"₹385.00","₹399.00","-4%","New","R R BOOK STALL","A1GY9C30S2WNDQ","9359581437","https://www.amazon.in/gp/product/9359581437?smid=A1GY9C30S2WNDQ&psc=1"
"₹399.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9359581437","https://www.amazon.in/gp/product/9359581437?smid=A3PS9PW8IUPJAO&psc=1"
"673.","₹799.00","-16%","New","Repro Books-On-Demand(drop box)","A15DBATYR506U3","9359585548",
"₹640.00","₹799.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9359585548","https://www.amazon.in/gp/product/9359585548?smid=A3DM1FLUKA6IGQ&psc=1"
"₹716.00","₹799.00","-10%","New","Cocoblu Retail","A1WYWER0W24N8S","9359585548","https://www.amazon.in/gp/product/9359585548?smid=A1WYWER0W24N8S&psc=1"
"₹719.00","₹799.00","-10%","New","Batheja Books","A2QUCPKK3GH5NC","9359585548","https://www.amazon.in/gp/product/9359585548?smid=A2QUCPKK3GH5NC&psc=1"
"₹740.00","₹799.00","-7%","New","R R BOOK STALL","A1GY9C30S2WNDQ","9359585548","https://www.amazon.in/gp/product/9359585548?smid=A1GY9C30S2WNDQ&psc=1"
"₹755.00","₹799.00","-6%","New","The Book Masters","A1HSME87SANYHJ","9359585548","https://www.amazon.in/gp/product/9359585548?smid=A1HSME87SANYHJ&psc=1"
"₹719.00","₹799.00","-10%","New","Ideal Books International","A2D3O719GX2IPF","9359585548","https://www.amazon.in/gp/product/9359585548?smid=A2D3O719GX2IPF&psc=1"
"268.","₹299.00","-10%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9359589063",
"₹299.00","Unavailable","","New","Repro Books-On-Demand","A15DBATYR506U3","9359589063","https://www.amazon.in/gp/product/9359589063?smid=A15DBATYR506U3&psc=1"
"₹299.00","Unavailable","","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9359589063","https://www.amazon.in/gp/product/9359589063?smid=A1RT8ZLNSAVMGC&psc=1"
"₹299.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9359589063","https://www.amazon.in/gp/product/9359589063?smid=A3PS9PW8IUPJAO&psc=1"
"₹325.00","₹335.00","-3%","New","R R BOOK STALL","A1GY9C30S2WNDQ","9359589063","https://www.amazon.in/gp/product/9359589063?smid=A1GY9C30S2WNDQ&psc=1"
"2,233.","₹2,394","-7%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9357283765",
"₹2233.00","₹2394.00","-7%","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9357283765","https://www.amazon.in/gp/product/9357283765?smid=A1RT8ZLNSAVMGC&psc=1"
"₹2394.00","Unavailable","","New","Repro Books-On-Demand","A15DBATYR506U3","9357283765","https://www.amazon.in/gp/product/9357283765?smid=A15DBATYR506U3&psc=1"
"₹2494.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9357283765","https://www.amazon.in/gp/product/9357283765?smid=A3PS9PW8IUPJAO&psc=1"
"406.","₹499.00","-19%","New","Repro Books-On-Demand(drop box)","A15DBATYR506U3","9359580554",
